;date;CAPU;INT, NEU;CARD, Other, CHIR, NEC
0;2025/01/01 01:00:00;10;11;8
1;2025/01/01 02:00:00;10;11;8
2;2025/01/01 03:00:00;10;11;8
3;2025/01/01 04:00:00;10;10;8
4;2025/01/01 05:00:00;10;10;7
5;2025/01/01 06:00:00;10;10;7
6;2025/01/01 07:00:00;10;9;7
7;2025/01/01 08:00:00;10;9;7
8;2025/01/01 09:00:00;10;9;7
9;2025/01/01 10:00:00;10;9;7
10;2025/01/01 11:00:00;10;10;7
11;2025/01/01 12:00:00;10;10;7
12;2025/01/01 13:00:00;10;10;7
13;2025/01/01 14:00:00;10;10;6
14;2025/01/01 15:00:00;10;10;6
15;2025/01/01 16:00:00;10;10;6
16;2025/01/01 17:00:00;10;10;6
17;2025/01/01 18:00:00;10;10;6
18;2025/01/01 19:00:00;10;11;6
19;2025/01/01 20:00:00;10;11;6
20;2025/01/01 21:00:00;10;11;6
21;2025/01/01 22:00:00;10;11;5
22;2025/01/01 23:00:00;10;11;5
23;2025/01/02 00:00:00;10;11;5
24;2025/01/02 01:00:00;10;11;2
25;2025/01/02 02:00:00;10;11;2
26;2025/01/02 03:00:00;10;11;1
27;2025/01/02 04:00:00;10;11;1
28;2025/01/02 05:00:00;10;11;1
29;2025/01/02 06:00:00;10;11;1
30;2025/01/02 07:00:00;10;11;1
31;2025/01/02 08:00:00;10;11;1
32;2025/01/02 09:00:00;10;11;1
33;2025/01/02 10:00:00;10;11;1
34;2025/01/02 11:00:00;10;11;1
35;2025/01/02 12:00:00;10;11;1
36;2025/01/02 13:00:00;10;11;1
37;2025/01/02 14:00:00;10;11;1
38;2025/01/02 15:00:00;10;11;1
39;2025/01/02 16:00:00;10;11;1
40;2025/01/02 17:00:00;10;11;0
41;2025/01/02 18:00:00;10;11;0
42;2025/01/02 19:00:00;10;11;0
43;2025/01/02 20:00:00;10;11;0
44;2025/01/02 21:00:00;9;11;1
45;2025/01/02 22:00:00;9;11;2
46;2025/01/02 23:00:00;9;11;2
47;2025/01/03 00:00:00;9;11;2
48;2025/01/03 01:00:00;9;11;3
49;2025/01/03 02:00:00;9;11;3
50;2025/01/03 03:00:00;9;11;3
51;2025/01/03 04:00:00;9;11;3
52;2025/01/03 05:00:00;9;11;3
53;2025/01/03 06:00:00;9;11;3
54;2025/01/03 07:00:00;9;11;3
55;2025/01/03 08:00:00;9;11;3
56;2025/01/03 09:00:00;9;10;3
57;2025/01/03 10:00:00;9;10;2
58;2025/01/03 11:00:00;9;10;1
59;2025/01/03 12:00:00;9;10;1
60;2025/01/03 13:00:00;9;10;1
61;2025/01/03 14:00:00;8;10;1
62;2025/01/03 15:00:00;8;10;1
63;2025/01/03 16:00:00;8;10;1
64;2025/01/03 17:00:00;8;10;1
65;2025/01/03 18:00:00;8;10;1
66;2025/01/03 19:00:00;9;10;1
67;2025/01/03 20:00:00;9;10;1
68;2025/01/03 21:00:00;9;10;1
69;2025/01/03 22:00:00;9;10;1
70;2025/01/03 23:00:00;9;10;1
71;2025/01/04 00:00:00;9;10;1
