;date;planning_method
0;2025/02/26 18:30:00;3
1;2025/02/26 18:50:00;3
2;2025/02/27 00:20:00;3
3;2025/04/01 00:30:00;3
4;2025/04/01 03:20:00;3
5;2025/09/21 00:20:00;3
6;2025/09/28 00:30:00;3
7;2025/10/29 02:50:00;3
8;2025/11/04 04:40:00;3
9;2025/11/06 13:20:00;3
10;2025/11/09 07:30:00;3
11;2025/11/09 10:30:00;3
12;2025/11/10 00:30:00;3
13;2025/11/11 03:00:00;3
14;2025/11/11 09:40:00;3
15;2025/11/11 10:00:00;3
16;2025/11/12 00:50:00;3
17;2025/11/24 00:30:00;3
18;2025/11/27 17:50:00;3
19;2025/11/28 00:50:00;3
20;2025/11/28 01:10:00;3
21;2025/11/28 01:30:00;3
22;2025/11/30 20:50:00;3
23;2025/11/30 21:10:00;3
24;2025/11/30 21:30:00;3
25;2025/11/30 21:50:00;3
26;2025/12/01 01:00:00;3
27;2025/12/02 00:50:00;3
28;2025/12/10 04:00:00;3
29;2025/12/12 04:20:00;3
30;2025/12/14 18:50:00;3
31;2025/12/15 00:30:00;3
32;2025/12/15 01:10:00;3
33;2025/12/17 07:50:00;3
34;2025/12/23 00:30:00;3
35;2025/12/24 00:30:00;3
36;2025/12/24 01:10:00;3
37;2025/12/24 13:40:00;3
38;2025/12/26 00:50:00;3
39;2025/12/26 01:10:00;3
40;2025/12/29 04:40:00;3
41;2025/12/30 01:00:00;3
42;2025/12/31 00:50:00;3
43;2025/12/31 07:20:00;3
44;2025/12/31 07:40:00;3
45;2025/12/31 08:00:00;3
46;2026/01/02 08:10:00;3
47;2026/01/04 00:30:00;3
48;2026/01/04 00:50:00;3
49;2026/01/05 00:30:00;3
50;2026/01/07 00:30:00;3
51;2026/01/09 00:50:00;3
52;2026/02/19 00:40:00;3
53;2026/05/05 00:30:00;3
54;2026/05/08 00:30:00;3
55;2026/05/13 05:20:00;3
56;2026/11/02 17:30:00;3
57;2026/11/04 01:00:00;3
58;2026/11/06 00:20:00;3
59;2026/11/07 17:50:00;3
60;2026/11/07 18:10:00;3
61;2026/11/07 18:30:00;3
62;2026/11/07 18:50:00;3
63;2026/11/07 19:10:00;3
64;2026/11/07 19:30:00;3
65;2026/11/09 02:20:00;3
66;2026/11/10 00:20:00;3
67;2026/11/10 09:40:00;3
68;2026/11/11 00:20:00;3
69;2026/11/11 00:40:00;3
70;2026/11/11 00:50:00;3
71;2026/11/11 01:00:00;3
72;2026/11/11 01:20:00;3
73;2026/11/11 01:40:00;3
74;2026/11/11 02:00:00;3
75;2026/11/11 02:20:00;3
76;2026/11/11 02:40:00;3
77;2026/11/11 03:00:00;3
78;2026/11/11 03:20:00;3
79;2026/11/11 03:40:00;3
80;2026/11/12 20:30:00;3
81;2026/11/12 20:50:00;3
82;2026/11/12 21:10:00;3
83;2026/11/18 06:20:00;3
84;2026/11/18 11:30:00;3
85;2026/11/19 00:50:00;3
86;2026/11/23 00:30:00;3
87;2026/11/24 00:30:00;3
88;2026/11/24 08:00:00;3
89;2026/11/24 17:10:00;3
90;2026/11/24 17:30:00;3
91;2026/11/24 17:50:00;3
92;2026/11/24 18:10:00;3
93;2026/11/24 18:30:00;3
94;2026/11/24 18:50:00;3
95;2026/11/24 19:10:00;3
96;2026/11/26 00:30:00;3
97;2026/11/27 00:50:00;3
98;2026/12/01 03:00:00;3
99;2026/12/01 03:20:00;3
100;2026/12/03 06:50:00;3
101;2026/12/04 16:20:00;3
102;2026/12/05 07:10:00;3
103;2026/12/17 00:40:00;3
